loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,approval_status,loan_start_date
L1007,C3572,Home Loan,1738845,7.9,240,Approved,2021-02-01
L1008,C1942,Vehicle Loan,54370,16.66,120,Approved,2021-04-26
L1009,C5692,Education Loan,4840985,17.99,120,Approved,2022-03-18
L1010,C0843,Vehicle Loan,2143396,16.58,240,Rejected,2022-09-21
L1011,C1778,Vehicle Loan,4435589,10.61,24,Approved,2019-01-28
L1012,C1787,Vehicle Loan,1875076,16.94,60,Approved,2022-04-17
L1013,C5323,Education Loan,129002,17.3,240,Approved,2021-05-18
L1014,C6648,Home Loan,4672989,16.16,60,Approved,2022-09-23
L1015,C1625,Vehicle Loan,2448057,12.41,120,Approved,2021-12-06
L1016,C6312,Vehicle Loan,2847353,10.56,36,Approved,2019-02-27
L1017,C5580,Vehicle Loan,938777,16.43,24,Approved,2020-12-03
L1018,C1409,Education Loan,1552539,9.91,12,Approved,2021-06-03
L1019,C3027,Education Loan,1237191,11.15,240,Approved,2022-06-13
L1020,C5343,Vehicle Loan,4007853,8.72,24,Rejected,2023-01-17
L1021,C2610,Education Loan,2278048,11.89,240,Approved,2019-05-04
L1022,C3096,Home Loan,4434239,9.09,12,Approved,2020-12-24
L1023,C2433,Personal Loan,440905,12.16,240,Approved,2022-07-10
L1024,C6858,Education Loan,3915886,16.37,24,Approved,2019-07-18
L1025,C2863,Education Loan,2209813,16.98,120,Approved,2023-01-16
L1026,C3554,Personal Loan,313650,15.18,240,Approved,2022-10-09
L1027,C3397,Vehicle Loan,4666629,13.27,240,Approved,2020-06-10
L1028,C6608,Education Loan,3640173,12.92,36,Rejected,2022-08-11
L1029,C2546,Education Loan,3877393,16.19,12,Approved,2019-04-23
L1030,C3612,Home Loan,4279794,8.64,24,Approved,2019-01-12
L1031,C0695,Home Loan,4674503,13.93,12,Approved,2022-11-14
L1032,C1584,Education Loan,195520,13.03,60,Approved,2022-10-22
L1033,C0822,Vehicle Loan,777657,8.09,60,Approved,2022-07-28
L1034,C0236,Education Loan,4399711,17.84,240,Approved,2020-06-21
L1035,C6921,Vehicle Loan,4544673,13.76,12,Approved,2023-02-06
L1036,C0314,Personal Loan,4705331,17.52,60,Approved,2020-11-27
L1037,C0562,Vehicle Loan,3125578,12.4,240,Approved,2022-05-27
L1038,C5227,Personal Loan,1039028,12.05,240,Approved,2021-07-06
L1039,C0514,Home Loan,3955430,13.66,240,Approved,2020-10-24
L1040,C4677,Home Loan,2817309,15.35,36,Rejected,2019-12-10
L1041,C0690,Education Loan,778282,8.76,12,Approved,2021-09-27
L1042,C1855,Personal Loan,535190,11.83,60,Approved,2021-06-05
L1043,C6779,Vehicle Loan,650619,15.42,120,Approved,2022-07-01
L1044,C1499,Personal Loan,2976026,16.22,240,Approved,2021-09-07
L1045,C3250,Home Loan,1392152,12.78,60,Approved,2019-07-19
L1046,C0960,Education Loan,3108765,13.04,36,Approved,2022-10-05
L1047,C4769,Vehicle Loan,3026265,17.43,120,Approved,2022-01-24
L1048,C0498,Education Loan,3575921,11.41,240,Approved,2021-09-01
L1049,C2392,Personal Loan,1011776,11.31,12,Approved,2020-10-10
L1050,C6222,Education Loan,2782593,10.25,36,Rejected,2022-06-11
L1051,C5365,Personal Loan,829420,10.94,240,Approved,2020-08-19
L1052,C5384,Vehicle Loan,2679961,11.93,120,Approved,2020-10-23
L1053,C5241,Personal Loan,615251,12.78,36,Approved,2022-09-14
L1054,C2745,Home Loan,4376111,14.1,120,Rejected,2019-03-26
L1055,C6087,Personal Loan,4035856,10.54,240,Approved,2021-08-23
L1056,C2317,Personal Loan,2257044,10.95,12,Rejected,2020-09-19
L1057,C4192,Education Loan,3399367,15.8,240,Approved,2020-08-11
L1058,C6816,Personal Loan,2414614,10.18,36,Approved,2022-05-23
L1059,C6452,Personal Loan,932258,12.41,60,Approved,2023-01-21
L1060,C0921,Vehicle Loan,4289244,16.23,60,Approved,2023-01-25
L1061,C5395,Education Loan,144834,17.89,36,Approved,2021-07-24
L1062,C4282,Personal Loan,705256,17.68,240,Approved,2019-03-18
L1063,C4004,Home Loan,1351905,14.57,24,Approved,2021-06-16
L1064,C1684,Personal Loan,338821,9.64,36,Rejected,2022-04-05
L1065,C3684,Education Loan,1177533,17.76,60,Approved,2019-03-06
L1066,C3280,Personal Loan,2493030,8.98,60,Approved,2020-06-25
L1067,C5721,Education Loan,4455456,8.71,120,Approved,2021-09-14
L1068,C4616,Vehicle Loan,3064715,9.04,12,Approved,2023-01-13
L1069,C4956,Education Loan,1067240,10.92,24,Approved,2022-08-25
L1070,C0182,Education Loan,4226659,13.03,120,Approved,2019-04-26
L1071,C2768,Vehicle Loan,4482772,10.83,60,Approved,2022-08-01
L1072,C0778,Personal Loan,377273,10.69,36,Approved,2019-07-22
L1073,C1663,Vehicle Loan,3108112,10.68,60,Approved,2022-08-08
L1074,C1343,Personal Loan,2458151,15.89,24,Approved,2020-12-14
L1075,C1592,Vehicle Loan,1432273,10.48,240,Approved,2020-01-24
L1076,C6688,Vehicle Loan,2106566,15.98,240,Approved,2022-05-05
L1077,C4747,Personal Loan,3999739,16.12,120,Approved,2022-04-29
L1078,C5215,Personal Loan,3722789,16.65,120,Approved,2022-11-06
L1079,C6144,Education Loan,4663754,13.02,120,Approved,2021-12-17
L1080,C5789,Vehicle Loan,1355007,13.34,120,Approved,2019-03-04
L1081,C0888,Education Loan,4404181,15.49,120,Approved,2019-08-06
L1082,C1508,Education Loan,4798322,8.98,12,Rejected,2022-03-15
L1083,C0008,Education Loan,1178234,15.4,240,Approved,2020-02-12
L1084,C2370,Vehicle Loan,2993001,13.09,240,Approved,2022-05-06
L1085,C1578,Education Loan,614054,17.32,120,Approved,2022-10-30
L1086,C5076,Education Loan,1988859,7.74,60,Approved,2019-12-17
L1087,C4290,Education Loan,3930095,11.75,120,Approved,2020-05-15
L1088,C2982,Education Loan,63251,17.7,24,Approved,2020-11-26
L1089,C1882,Home Loan,4826594,15.14,36,Rejected,2022-03-23
L1090,C2647,Vehicle Loan,466124,9.74,60,Approved,2022-05-20
L1091,C5393,Vehicle Loan,3273672,10.94,24,Approved,2020-08-25
L1092,C2559,Home Loan,3266003,13.4,120,Approved,2019-08-25
L1093,C3572,Home Loan,2730764,16.97,240,Rejected,2021-09-10
L1094,C6259,Personal Loan,3771231,11.49,60,Approved,2021-12-28
L1095,C5360,Education Loan,4164096,14.39,24,Rejected,2019-05-25
L1096,C0666,Personal Loan,649788,10.39,36,Approved,2021-01-13
L1097,C4868,Personal Loan,3896705,10.4,240,Approved,2020-02-10
L1098,C0718,Home Loan,1333303,13.56,120,Approved,2019-07-09
L1099,C4789,Vehicle Loan,969704,13.17,120,Rejected,2020-02-28
L1100,C1226,Vehicle Loan,63578,9.43,36,Approved,2019-02-24
L1101,C5281,Personal Loan,3890631,17.18,12,Rejected,2022-04-20
L1102,C5059,Personal Loan,2499135,9.61,60,Approved,2019-10-11
L1103,C0927,Personal Loan,4264895,12.9,120,Approved,2019-03-18
L1104,C5336,Education Loan,4919577,9.68,60,Approved,2020-09-04
L1105,C6839,Home Loan,4845436,16.49,24,Approved,2019-09-16
L1106,C4190,Education Loan,3934549,10.86,120,Approved,2021-07-14
L1107,C2060,Vehicle Loan,4079518,10.54,24,Approved,2020-01-27
L1108,C2201,Personal Loan,1440615,16.34,36,Approved,2019-09-17
L1109,C6081,Vehicle Loan,375060,8.59,240,Rejected,2021-12-24
L1110,C3764,Personal Loan,1585554,17.9,24,Rejected,2022-06-22
L1111,C1130,Home Loan,3371071,12.47,36,Approved,2019-04-06
L1112,C5678,Vehicle Loan,1000688,16.04,12,Approved,2022-10-08
L1113,C0436,Education Loan,354899,13.27,12,Approved,2022-12-16
L1114,C3404,Home Loan,1363625,13.26,120,Approved,2019-05-23
L1115,C2085,Vehicle Loan,170437,12.8,24,Approved,2020-12-31
L1116,C2986,Education Loan,914435,8.24,60,Approved,2020-01-03
L1117,C1171,Vehicle Loan,1364763,15.12,24,Approved,2021-09-05
L1118,C6822,Home Loan,3602026,14.01,36,Approved,2020-09-13
L1119,C6236,Personal Loan,4646390,14.86,120,Approved,2022-09-19
L1120,C4414,Home Loan,2963214,12.35,60,Rejected,2019-07-13
L1121,C0371,Personal Loan,4891547,9.72,120,Approved,2020-01-16
L1122,C4158,Home Loan,2670613,15.45,60,Approved,2019-07-24
L1123,C3917,Personal Loan,530941,9.08,12,Approved,2021-03-26
L1124,C6752,Home Loan,2998422,10.39,120,Approved,2019-10-17
L1125,C3919,Education Loan,1866884,14.16,240,Approved,2021-07-25
L1126,C3273,Home Loan,2823645,10.75,60,Approved,2021-10-06
L1127,C1544,Vehicle Loan,729752,12.37,60,Rejected,2022-04-29
L1128,C6654,Personal Loan,2220345,10.85,240,Rejected,2020-06-26
L1129,C1369,Personal Loan,2064278,7.74,12,Approved,2021-03-03
L1130,C5195,Home Loan,1954869,13.73,240,Approved,2019-09-25
L1131,C3918,Personal Loan,2050283,17.62,120,Approved,2020-04-27
L1132,C4258,Education Loan,3250060,17.75,24,Rejected,2021-12-05
L1133,C0813,Education Loan,2930048,13.15,24,Approved,2020-11-17
L1134,C3235,Vehicle Loan,535514,13.76,240,Approved,2021-08-27
L1135,C2449,Education Loan,339855,14.12,36,Approved,2020-07-04
L1136,C1383,Home Loan,3599911,11.75,240,Approved,2020-07-14
L1137,C4439,Home Loan,3290781,14.88,36,Approved,2022-08-14
L1138,C0922,Personal Loan,2397827,13.12,240,Approved,2019-05-19
L1139,C2799,Home Loan,1363242,10.99,60,Approved,2019-02-19
L1140,C1126,Vehicle Loan,4795037,13.24,36,Approved,2021-09-23
L1141,C5567,Education Loan,4773343,17.97,60,Approved,2020-12-13
L1142,C1938,Home Loan,4731351,11.58,240,Approved,2022-05-20
L1143,C4469,Education Loan,4324905,14.78,240,Rejected,2023-01-25
L1144,C4591,Personal Loan,2422677,14.06,12,Approved,2020-10-17
L1145,C2127,Education Loan,1886157,14.02,240,Approved,2020-03-26
L1146,C0221,Vehicle Loan,2783978,11.27,24,Approved,2019-09-12
L1147,C4321,Home Loan,4837437,17.57,36,Approved,2021-09-17
L1148,C6456,Personal Loan,1090441,9.65,60,Approved,2019-07-25
L1149,C3810,Personal Loan,4094250,12.39,12,Approved,2019-10-08
L1150,C0005,Personal Loan,338450,9.23,36,Approved,2022-12-25
L1151,C2301,Personal Loan,2906781,10.23,12,Approved,2021-04-16
L1152,C4926,Vehicle Loan,103333,7.76,120,Approved,2020-10-22
L1153,C1962,Personal Loan,4076613,10.37,24,Approved,2022-05-14
L1154,C6803,Home Loan,4449177,14.93,36,Approved,2021-08-06
L1155,C2740,Education Loan,4050791,16.04,36,Approved,2020-11-15
L1156,C5645,Vehicle Loan,1512462,16.2,60,Approved,2022-06-27
L1157,C0985,Vehicle Loan,169932,12.07,120,Approved,2022-09-22
L1158,C5827,Education Loan,3503278,9.82,12,Rejected,2021-06-27
L1159,C6371,Personal Loan,3153614,13.19,120,Rejected,2020-01-08
L1160,C4404,Personal Loan,1707220,16.82,12,Approved,2019-09-14
L1161,C4634,Home Loan,4384007,15.84,60,Approved,2020-05-05
L1162,C0611,Personal Loan,3855468,16.8,60,Approved,2019-01-27
L1163,C1032,Home Loan,283215,10.71,60,Approved,2020-04-26
L1164,C6233,Vehicle Loan,618089,13.2,60,Approved,2021-12-29
L1165,C6244,Education Loan,2831754,7.97,240,Approved,2019-10-10
L1166,C3508,Education Loan,1410541,8.58,36,Approved,2021-10-09
L1167,C5484,Home Loan,193220,15.13,12,Approved,2019-04-29
L1168,C1908,Personal Loan,3708755,15.4,60,Approved,2020-11-19
L1169,C5685,Personal Loan,3636101,12.94,240,Approved,2020-07-01
L1170,C3004,Education Loan,1653911,14.64,120,Approved,2022-08-13
L1171,C1514,Vehicle Loan,4900019,11.57,24,Approved,2019-05-18
L1172,C3317,Personal Loan,3682373,17.86,24,Approved,2020-07-31
L1173,C5105,Education Loan,4316443,14.37,240,Approved,2021-04-11
L1174,C5479,Vehicle Loan,830538,14.16,240,Rejected,2019-11-24
L1175,C0941,Personal Loan,2968865,15.64,36,Rejected,2022-08-06
L1176,C6730,Vehicle Loan,3989180,13.31,120,Approved,2021-02-14
L1177,C5579,Personal Loan,3312817,11.14,60,Approved,2022-08-18
L1178,C2231,Vehicle Loan,1716286,11.45,120,Rejected,2020-11-08
L1179,C0918,Home Loan,4939718,8.09,24,Rejected,2020-10-30
L1180,C2194,Education Loan,2714509,16.58,240,Approved,2019-06-09
L1181,C1475,Personal Loan,862566,9.89,24,Approved,2022-01-19
L1182,C4132,Personal Loan,993820,11.91,60,Approved,2020-10-08
L1183,C2233,Education Loan,4525079,13.12,240,Rejected,2022-04-30
L1184,C5245,Education Loan,239845,10.39,120,Approved,2022-05-21
L1185,C4839,Vehicle Loan,1440659,14.8,24,Approved,2020-01-17
L1186,C2674,Education Loan,2256333,11.01,120,Approved,2020-04-19
L1187,C4965,Personal Loan,2306323,8.54,24,Approved,2021-06-08
L1188,C5729,Personal Loan,2807166,10.2,12,Approved,2020-03-01
L1189,C4347,Vehicle Loan,4101772,8.28,36,Approved,2019-01-30
L1190,C5263,Home Loan,1422229,11.5,60,Approved,2020-02-18
L1191,C5577,Vehicle Loan,4327651,13.36,12,Approved,2020-01-26
L1192,C5526,Personal Loan,1206355,14.72,60,Approved,2022-05-18
L1193,C5728,Home Loan,1564370,14.62,24,Approved,2023-01-11
L1194,C2303,Personal Loan,3840584,10.86,240,Rejected,2022-11-23
L1195,C4468,Personal Loan,4077996,12.45,12,Approved,2020-04-10
L1196,C5377,Home Loan,2335408,16.78,60,Approved,2021-08-02
L1197,C3741,Education Loan,3856020,15.87,12,Approved,2020-06-01
L1198,C4350,Education Loan,3118881,10.56,120,Rejected,2022-10-02
L1199,C4727,Education Loan,184331,15.26,12,Approved,2019-11-07
L1200,C6269,Vehicle Loan,4370022,17.44,24,Approved,2019-05-06
L1201,C5722,Personal Loan,4786607,14.08,12,Approved,2023-01-13
L1202,C5063,Personal Loan,356817,8.07,60,Approved,2020-10-04
L1203,C4135,Personal Loan,2868550,10.59,24,Rejected,2022-08-15
L1204,C0525,Personal Loan,2118773,12.05,12,Approved,2021-09-28
L1205,C5250,Home Loan,1602903,7.94,60,Approved,2019-06-15
L1206,C0880,Education Loan,2779375,14.43,120,Approved,2021-01-07
L1207,C5112,Education Loan,1447687,9.32,60,Approved,2022-01-12
L1208,C0085,Education Loan,4530901,14.39,36,Approved,2022-05-29
L1209,C0952,Vehicle Loan,3399855,14.87,24,Approved,2021-03-30
L1210,C0130,Personal Loan,3526389,11.79,24,Rejected,2019-08-22
L1211,C2768,Vehicle Loan,313910,13.4,36,Approved,2022-08-15
L1212,C3136,Vehicle Loan,1670920,14.57,240,Approved,2019-12-25
L1213,C0900,Personal Loan,4197029,16.03,240,Approved,2021-07-28
L1214,C0064,Vehicle Loan,3048241,14.4,12,Approved,2019-11-21
L1215,C6859,Personal Loan,2111170,14.25,60,Approved,2022-02-11
L1216,C3843,Education Loan,1570887,13.52,36,Approved,2020-02-22
L1217,C5406,Home Loan,1476465,17.91,12,Rejected,2021-05-21
L1218,C6263,Education Loan,2427268,14.35,36,Approved,2021-06-21
L1219,C6619,Vehicle Loan,4771964,11.85,240,Approved,2021-10-02
L1220,C0327,Personal Loan,2271283,13.69,12,Approved,2022-12-01
L1221,C0719,Education Loan,4866887,10.81,240,Approved,2020-03-29
L1222,C0461,Education Loan,1022327,7.74,12,Approved,2020-08-25
L1223,C4619,Personal Loan,2957494,15.62,120,Approved,2022-07-12
L1224,C5124,Personal Loan,2230617,14.39,24,Approved,2019-12-28
L1225,C3079,Home Loan,3005520,13.39,120,Approved,2020-09-08
L1226,C6540,Home Loan,1943665,16.96,12,Approved,2020-05-04
L1227,C4857,Education Loan,4820916,14.85,240,Approved,2020-01-30
L1228,C2665,Vehicle Loan,1001804,15.76,120,Approved,2023-01-24
L1229,C6604,Vehicle Loan,102734,10.79,120,Rejected,2021-06-02
L1230,C2240,Home Loan,3737413,8.48,36,Approved,2022-01-26
L1231,C0943,Vehicle Loan,1596510,17.89,24,Approved,2020-02-08
L1232,C5337,Vehicle Loan,3608585,12.77,12,Approved,2020-07-07
L1233,C1083,Personal Loan,1567493,13.41,120,Approved,2021-07-25
L1234,C4757,Personal Loan,4860047,14.56,240,Approved,2019-05-10
L1235,C4260,Home Loan,2221641,12.74,120,Approved,2020-03-27
L1236,C1976,Personal Loan,1492565,9.5,24,Approved,2022-12-24
L1237,C1078,Personal Loan,1785494,12.4,24,Approved,2021-04-20
L1238,C6204,Personal Loan,3610975,13.28,36,Approved,2020-03-10
L1239,C4115,Vehicle Loan,2758223,15.26,36,Approved,2020-10-09
L1240,C2387,Vehicle Loan,2834845,13.78,24,Approved,2020-08-12
L1241,C0241,Home Loan,4398061,15.26,240,Approved,2021-09-19
L1242,C0733,Vehicle Loan,4574697,14.03,12,Approved,2019-03-02
L1243,C3257,Education Loan,3912255,11.34,12,Approved,2020-03-11
L1244,C2208,Home Loan,225231,13.54,36,Approved,2019-03-25
L1245,C1846,Personal Loan,385555,15.72,240,Approved,2020-10-18
L1246,C1796,Home Loan,3523371,9.91,240,Approved,2019-10-15
L1247,C3139,Personal Loan,2213966,8.96,12,Approved,2019-11-19
L1248,C4017,Education Loan,2260289,9.21,60,Rejected,2022-08-03
L1249,C4542,Vehicle Loan,1958757,12.68,240,Approved,2022-06-25
L1250,C0260,Education Loan,4274023,13.43,240,Approved,2021-02-13
L1251,C1638,Home Loan,3702830,16.59,12,Approved,2021-01-17
L1252,C6932,Education Loan,1203519,12.17,12,Approved,2023-01-23
L1253,C0922,Education Loan,1286745,9.97,24,Approved,2021-12-22
L1254,C4410,Personal Loan,809512,11.01,240,Approved,2022-03-04
L1255,C0669,Home Loan,886722,12.73,60,Approved,2020-12-10
L1256,C1343,Home Loan,4728923,16.21,240,Approved,2021-06-27
L1257,C5260,Home Loan,1500064,8.17,12,Rejected,2019-07-17
L1258,C3224,Vehicle Loan,4587093,14.47,240,Approved,2021-05-31
L1259,C6712,Vehicle Loan,52456,14.82,36,Rejected,2022-07-25
L1260,C1622,Vehicle Loan,1417726,12.78,240,Approved,2019-11-05
L1261,C0378,Home Loan,4790086,14.83,36,Approved,2021-01-01
L1262,C3198,Personal Loan,425382,12.62,12,Approved,2020-02-23
L1263,C6708,Personal Loan,4044592,13.95,240,Approved,2019-11-10
L1264,C6765,Home Loan,3732695,9.29,240,Approved,2022-08-04
L1265,C3425,Vehicle Loan,1361033,12.69,24,Approved,2019-09-22
L1266,C1659,Home Loan,3927528,7.54,60,Approved,2021-01-26
L1267,C2500,Vehicle Loan,330464,12.36,24,Rejected,2020-05-26
L1268,C6804,Personal Loan,1176993,15.83,240,Approved,2022-12-21
L1269,C0672,Home Loan,4226302,10.76,60,Rejected,2019-08-25
L1270,C4796,Vehicle Loan,2805677,16.78,120,Approved,2021-09-04
L1271,C4519,Home Loan,2702027,11.83,60,Approved,2022-06-23
L1272,C3961,Vehicle Loan,532658,8.11,240,Approved,2019-05-02
L1273,C0608,Home Loan,1270000,16.17,120,Approved,2019-12-13
L1274,C4393,Education Loan,3813489,11.37,36,Approved,2021-09-26
L1275,C5059,Education Loan,3199684,9.49,240,Rejected,2022-11-22
L1276,C3259,Education Loan,4790067,7.74,12,Approved,2019-03-14
L1277,C1630,Personal Loan,3384462,14.23,60,Approved,2021-02-17
L1278,C0062,Vehicle Loan,575200,16.49,24,Approved,2020-07-20
L1279,C1566,Vehicle Loan,591969,15.98,240,Approved,2022-10-07
L1280,C0849,Home Loan,4763410,12.72,120,Approved,2020-08-06
L1281,C6278,Home Loan,1709565,13.49,120,Approved,2021-09-16
L1282,C0796,Vehicle Loan,3247790,11.45,60,Approved,2021-03-02
L1283,C3259,Personal Loan,2681308,11.91,12,Approved,2021-09-09
L1284,C3838,Education Loan,1371571,8.89,24,Rejected,2019-02-26
L1285,C6266,Vehicle Loan,3049998,14.45,60,Approved,2020-11-26
L1286,C3012,Vehicle Loan,1777101,15.09,36,Approved,2022-07-31
L1287,C2312,Home Loan,2641444,10.84,240,Approved,2021-08-01
L1288,C0232,Personal Loan,4733785,7.57,24,Approved,2019-12-05
L1289,C4669,Education Loan,932239,17.89,60,Approved,2022-10-25
L1290,C3696,Home Loan,2852432,12.46,24,Approved,2021-03-01
L1291,C0762,Vehicle Loan,1593115,12.56,36,Approved,2021-08-10
L1292,C5746,Vehicle Loan,4699914,13.69,60,Approved,2022-11-27
L1293,C3869,Education Loan,2622003,8.45,12,Approved,2022-11-30
L1294,C6826,Home Loan,4930883,15.9,24,Rejected,2019-02-21
L1295,C0578,Education Loan,887606,12.63,240,Approved,2022-05-01
L1296,C3560,Personal Loan,2684322,10.13,12,Approved,2021-04-07
L1297,C3961,Vehicle Loan,1248724,17.44,240,Approved,2019-06-19
L1298,C2599,Personal Loan,315301,16.24,120,Approved,2021-12-05
L1299,C3783,Home Loan,343136,17.16,24,Rejected,2023-01-24
L1300,C6965,Personal Loan,4995092,11.09,60,Approved,2019-05-29
L1301,C4350,Home Loan,3522068,13.48,240,Approved,2022-07-11
L1302,C6250,Vehicle Loan,692016,14.44,240,Approved,2022-06-16
L1303,C5469,Personal Loan,1401319,11.83,240,Approved,2021-01-31
L1304,C5953,Vehicle Loan,3244354,16.58,12,Rejected,2022-06-09
L1305,C3247,Vehicle Loan,4301975,8.78,24,Approved,2021-02-16
L1306,C6814,Personal Loan,3718064,11.17,240,Approved,2020-06-11
L1307,C5933,Vehicle Loan,2051428,8.63,60,Approved,2022-03-04
L1308,C6906,Home Loan,1009456,10.35,12,Approved,2021-02-09
L1309,C6247,Home Loan,4010430,8.03,24,Approved,2021-02-04
L1310,C5980,Home Loan,1087393,7.73,240,Approved,2021-02-03
L1311,C0527,Education Loan,4871598,8.8,120,Approved,2020-12-24
L1312,C2457,Education Loan,3117363,8.08,24,Approved,2020-05-04
L1313,C2077,Education Loan,1288069,14.53,24,Approved,2021-06-13
L1314,C3768,Vehicle Loan,1396368,14.03,60,Approved,2023-01-30
L1315,C1610,Home Loan,3203919,17.35,240,Approved,2021-05-05
L1316,C1380,Personal Loan,3794433,11.44,60,Approved,2021-06-29
L1317,C2698,Education Loan,3351534,16.34,24,Approved,2022-01-30
L1318,C4191,Education Loan,4301689,7.7,120,Approved,2022-11-01
L1319,C0865,Vehicle Loan,3602964,12.71,24,Approved,2020-12-19
L1320,C4383,Personal Loan,90442,7.96,12,Rejected,2021-03-30
L1321,C1671,Home Loan,4159108,17.76,60,Approved,2019-05-20
L1322,C0927,Personal Loan,2208713,8.31,120,Approved,2021-07-03
L1323,C2718,Vehicle Loan,842409,17.8,120,Approved,2019-03-07
L1324,C4905,Home Loan,3775278,17.5,240,Approved,2021-04-23
L1325,C2893,Personal Loan,2263549,15.48,24,Rejected,2022-09-26
L1326,C6848,Home Loan,2218987,9.06,60,Approved,2020-12-22
L1327,C2279,Education Loan,4400828,17.63,12,Approved,2023-02-04
L1328,C0567,Education Loan,2678668,11.97,12,Rejected,2021-05-24
L1329,C1708,Education Loan,3420544,14.89,240,Approved,2021-08-18
L1330,C4015,Education Loan,1557912,10.29,60,Rejected,2023-01-25
L1331,C0066,Personal Loan,2146403,16.06,120,Approved,2021-08-06
L1332,C5946,Vehicle Loan,249491,12.72,36,Approved,2022-08-10
L1333,C4994,Home Loan,4151651,8.25,120,Rejected,2022-12-03
L1334,C0480,Vehicle Loan,1688102,12.42,120,Approved,2022-06-13
L1335,C2146,Personal Loan,3891099,11.15,60,Rejected,2020-07-18
L1336,C2533,Vehicle Loan,4924972,8.14,240,Rejected,2020-02-09
L1337,C2981,Personal Loan,852413,14.55,120,Approved,2020-04-12
L1338,C2521,Vehicle Loan,2897142,11.99,12,Approved,2021-04-04
L1339,C1828,Education Loan,3708946,9.02,120,Approved,2019-12-04
L1340,C4089,Personal Loan,733589,15.94,60,Approved,2022-01-10
L1341,C4003,Personal Loan,1187945,14.32,240,Approved,2019-10-01
L1342,C1781,Home Loan,4475052,8.47,36,Approved,2022-05-06
L1343,C4006,Vehicle Loan,1919053,10.69,240,Approved,2022-07-06
L1344,C4797,Personal Loan,3824269,13.51,12,Approved,2021-08-17
L1345,C3093,Vehicle Loan,773183,11.53,60,Approved,2020-05-26
L1346,C5933,Personal Loan,4710371,8.52,60,Approved,2019-03-15
L1347,C6239,Personal Loan,1745416,17.99,120,Approved,2022-01-28
L1348,C3863,Home Loan,1207058,15.82,12,Rejected,2022-04-27
L1349,C0076,Home Loan,1196960,14.47,60,Approved,2019-06-30
L1350,C5942,Home Loan,3303751,13.12,12,Approved,2021-08-29
L1351,C0219,Vehicle Loan,1011806,9.62,24,Approved,2019-05-09
L1352,C3772,Personal Loan,1313813,11.59,60,Approved,2019-01-26
L1353,C1350,Vehicle Loan,1178097,11.65,36,Approved,2021-01-07
L1354,C4170,Vehicle Loan,1077280,7.82,36,Approved,2022-08-12
L1355,C2567,Vehicle Loan,4187221,16.94,60,Approved,2019-12-06
L1356,C2595,Home Loan,2436936,11.73,24,Approved,2019-11-10
L1357,C5201,Vehicle Loan,85586,17.12,120,Approved,2023-01-05
L1358,C3590,Home Loan,4967531,10,240,Approved,2022-12-30
L1359,C3876,Personal Loan,3862102,9.9,24,Approved,2021-05-02
L1360,C6463,Personal Loan,1824025,15.87,24,Approved,2022-02-05
L1361,C6967,Vehicle Loan,1774696,17.86,240,Approved,2020-06-30
L1362,C6909,Education Loan,801734,15.35,120,Approved,2019-10-10
L1363,C0001,Education Loan,3374918,17.05,24,Approved,2021-05-21
L1364,C6157,Vehicle Loan,250338,16.97,120,Approved,2019-01-11
L1365,C5890,Personal Loan,3019636,14.92,60,Approved,2019-12-26
L1366,C1527,Education Loan,1083138,14.97,24,Approved,2021-03-30
L1367,C0582,Home Loan,3466032,11.87,36,Approved,2020-11-13
L1368,C0201,Vehicle Loan,4274597,17.85,36,Approved,2021-11-01
L1369,C4875,Education Loan,415823,16.7,12,Rejected,2019-02-18
L1370,C2658,Home Loan,887164,12.48,12,Rejected,2020-05-21
L1371,C0232,Personal Loan,898883,10.28,12,Approved,2020-08-27
L1372,C2843,Education Loan,1991173,15.24,36,Approved,2022-07-28
L1373,C3408,Education Loan,3921962,13.56,240,Rejected,2019-07-15
L1374,C3005,Personal Loan,2070312,14.56,240,Approved,2020-05-22
L1375,C0061,Home Loan,296205,9.91,120,Approved,2020-12-29
L1376,C4228,Home Loan,311877,17.11,36,Approved,2020-04-04
L1377,C1652,Vehicle Loan,3919298,12.85,12,Approved,2019-12-07
L1378,C4013,Vehicle Loan,4694076,13.68,12,Approved,2020-04-07
L1379,C6638,Education Loan,4335265,10.83,24,Approved,2022-10-09
L1380,C4846,Education Loan,3971716,15.89,12,Approved,2020-01-08
L1381,C5889,Vehicle Loan,4423238,7.53,12,Approved,2021-10-14
L1382,C6877,Personal Loan,1003807,13.72,60,Approved,2020-02-04
L1383,C2552,Personal Loan,2507388,14.24,60,Approved,2020-09-08
L1384,C0455,Home Loan,1027392,16.98,12,Approved,2022-03-28
L1385,C3020,Education Loan,655797,12.73,120,Approved,2020-07-27
L1386,C1519,Personal Loan,3722357,11.25,120,Approved,2021-08-31
L1387,C5199,Personal Loan,1703931,15.01,120,Approved,2020-04-29
L1388,C0096,Education Loan,3132765,8.98,36,Approved,2022-12-09
L1389,C1540,Personal Loan,817295,17.71,60,Rejected,2022-08-09
L1390,C5181,Personal Loan,3565751,11.63,24,Approved,2020-05-04
L1391,C6564,Home Loan,272520,15.49,24,Approved,2023-01-08
L1392,C3342,Personal Loan,3802525,14.51,36,Approved,2021-03-08
L1393,C1156,Home Loan,3205048,8.39,60,Approved,2022-07-09
