customer_id,credit_score,risk_category,score_date
C1433,750,Very Low Risk,2023-04-18
C1434,733,Low Risk,2023-12-31
C1435,671,Low Risk,2023-07-26
C1436,701,Low Risk,2023-05-26
C1437,827,Very Low Risk,2023-03-15
C1438,757,Very Low Risk,2023-01-01
C1439,407,High Risk,2023-01-08
C1440,573,Medium Risk,2023-12-28
C1441,338,High Risk,2023-11-28
C1442,424,High Risk,2023-11-01
C1443,812,Very Low Risk,2023-05-20
C1444,505,High Risk,2023-01-01
C1445,565,Medium Risk,2023-12-11
C1446,512,High Risk,2023-06-10
C1447,634,Medium Risk,2023-03-13
C1448,412,High Risk,2023-05-20
C1449,460,High Risk,2023-05-18
C1450,805,Very Low Risk,2023-05-14
C1451,694,Low Risk,2023-03-13
C1452,878,Very Low Risk,2023-09-17
C1453,454,High Risk,2023-09-14
C1454,861,Very Low Risk,2023-11-27
C1455,319,High Risk,2023-07-06
C1456,890,Very Low Risk,2023-06-15
C1457,591,Medium Risk,2023-08-19
C1458,537,High Risk,2023-09-03
C1459,552,Medium Risk,2023-11-22
C1460,849,Very Low Risk,2023-09-18
C1461,722,Low Risk,2023-09-06
C1462,429,High Risk,2023-10-13
C1463,350,High Risk,2023-01-17
C1464,503,High Risk,2023-04-29
C1465,560,Medium Risk,2023-04-10
C1466,601,Medium Risk,2023-04-27
C1467,369,High Risk,2023-12-12
C1468,595,Medium Risk,2023-03-30
C1469,764,Very Low Risk,2023-07-29
C1470,653,Low Risk,2023-11-01
C1471,352,High Risk,2023-11-25
C1472,865,Very Low Risk,2023-08-09
C1473,464,High Risk,2023-10-04
C1474,496,High Risk,2023-10-29
C1475,521,High Risk,2023-04-22
C1476,416,High Risk,2023-07-21
C1477,835,Very Low Risk,2023-08-02
C1478,347,High Risk,2023-12-03
C1479,877,Very Low Risk,2023-06-21
C1480,812,Very Low Risk,2023-10-13
C1481,706,Low Risk,2023-03-02
C1482,359,High Risk,2023-04-07
C1483,758,Very Low Risk,2023-07-09
C1484,435,High Risk,2023-06-05
C1485,804,Very Low Risk,2023-08-27
C1486,718,Low Risk,2023-03-04
C1487,898,Very Low Risk,2023-02-03
C1488,492,High Risk,2023-05-29
C1489,678,Low Risk,2023-05-28
C1490,509,High Risk,2023-10-13
C1491,737,Low Risk,2023-04-20
C1492,631,Medium Risk,2023-12-21
C1493,827,Very Low Risk,2023-03-14
C1494,677,Low Risk,2023-10-31
C1495,652,Low Risk,2023-11-25
C1496,695,Low Risk,2023-03-21
C1497,504,High Risk,2023-08-12
C1498,726,Low Risk,2023-07-21
C1499,814,Very Low Risk,2023-10-13
C1500,840,Very Low Risk,2023-03-01
C1501,562,Medium Risk,2023-02-08
C1502,681,Low Risk,2023-05-17
C1503,849,Very Low Risk,2023-05-18
C1504,308,High Risk,2023-11-10
C1505,431,High Risk,2023-06-24
C1506,562,Medium Risk,2023-04-14
C1507,519,High Risk,2023-10-05
C1508,448,High Risk,2023-06-03
C1509,403,High Risk,2023-11-05
C1510,317,High Risk,2023-09-16
C1511,407,High Risk,2023-10-21
C1512,750,Very Low Risk,2023-09-15
C1513,897,Very Low Risk,2023-02-07
C1514,795,Very Low Risk,2023-12-23
C1515,337,High Risk,2023-09-20
C1516,395,High Risk,2023-06-24
C1517,435,High Risk,2023-03-02
C1518,581,Medium Risk,2023-12-11
C1519,867,Very Low Risk,2023-12-10
C1520,776,Very Low Risk,2023-07-13
C1521,324,High Risk,2023-11-03
C1522,386,High Risk,2023-12-03
C1523,622,Medium Risk,2023-12-16
C1524,615,Medium Risk,2023-09-10
C1525,482,High Risk,2023-01-06
C1526,316,High Risk,2023-01-15
C1527,368,High Risk,2023-09-19
C1528,829,Very Low Risk,2023-03-08
C1529,386,High Risk,2023-02-23
C1530,745,Low Risk,2023-02-18
C1531,534,High Risk,2023-10-19
C1532,796,Very Low Risk,2023-12-26
C1533,835,Very Low Risk,2023-03-27
C1534,412,High Risk,2023-03-04
C1535,690,Low Risk,2023-08-21
C1536,492,High Risk,2023-03-11
C1537,747,Low Risk,2023-12-26
C1538,465,High Risk,2023-05-24
C1539,302,High Risk,2023-06-01
C1540,371,High Risk,2023-06-06
C1541,827,Very Low Risk,2023-05-31
C1542,572,Medium Risk,2023-05-09
C1543,545,High Risk,2023-07-25
C1544,589,Medium Risk,2023-02-02
C1545,542,High Risk,2023-02-17
C1546,327,High Risk,2023-11-27
C1547,386,High Risk,2023-08-22
C1548,449,High Risk,2023-05-25
C1549,853,Very Low Risk,2023-06-27
C1550,508,High Risk,2023-11-02
C1551,379,High Risk,2023-04-21
C1552,604,Medium Risk,2023-07-19
C1553,731,Low Risk,2023-09-24
C1554,832,Very Low Risk,2023-09-25
C1555,384,High Risk,2023-06-15
C1556,866,Very Low Risk,2023-12-17
C1557,637,Medium Risk,2023-07-10
C1558,600,Medium Risk,2023-10-24
C1559,393,High Risk,2023-06-07
C1560,554,Medium Risk,2023-09-27
C1561,700,Low Risk,2023-01-12
C1562,518,High Risk,2023-07-14
C1563,646,Medium Risk,2023-09-28
C1564,544,High Risk,2023-12-30
C1565,736,Low Risk,2023-07-10
C1566,638,Medium Risk,2023-03-22
C1567,443,High Risk,2023-05-15
C1568,433,High Risk,2023-12-30
C1569,711,Low Risk,2023-01-13
C1570,430,High Risk,2023-03-17
C1571,731,Low Risk,2023-09-02
C1572,818,Very Low Risk,2023-10-23
C1573,887,Very Low Risk,2023-06-23
C1574,673,Low Risk,2023-04-07
C1575,860,Very Low Risk,2023-06-27
C1576,699,Low Risk,2023-02-13
C1577,627,Medium Risk,2023-11-28
C1578,799,Very Low Risk,2023-04-23
C1579,743,Low Risk,2023-09-16
C1580,856,Very Low Risk,2023-10-07
C1581,780,Very Low Risk,2023-12-28
C1582,394,High Risk,2023-01-30
C1583,803,Very Low Risk,2023-04-08
C1584,739,Low Risk,2023-01-03
C1585,675,Low Risk,2023-11-08
C1586,455,High Risk,2023-08-16
C1587,363,High Risk,2023-12-12
C1588,479,High Risk,2023-12-13
C1589,710,Low Risk,2023-10-16
C1590,402,High Risk,2023-12-15
C1591,831,Very Low Risk,2023-05-15
C1592,541,High Risk,2023-03-08
C1593,565,Medium Risk,2023-04-06
C1594,832,Very Low Risk,2023-06-29
C1595,747,Low Risk,2023-05-25
C1596,502,High Risk,2023-12-16
C1597,559,Medium Risk,2023-04-19
C1598,883,Very Low Risk,2023-11-21
C1599,709,Low Risk,2023-07-01
C1600,382,High Risk,2023-10-06
C1601,878,Very Low Risk,2023-02-23
C1602,314,High Risk,2023-08-01
C1603,692,Low Risk,2023-08-30
C1604,703,Low Risk,2023-12-09
C1605,497,High Risk,2023-07-02
C1606,362,High Risk,2023-03-04
C1607,624,Medium Risk,2023-04-08
C1608,388,High Risk,2023-04-24
C1609,511,High Risk,2023-10-31
C1610,764,Very Low Risk,2023-12-07
C1611,676,Low Risk,2023-08-15
C1612,408,High Risk,2023-06-10
C1613,587,Medium Risk,2023-05-30
C1614,697,Low Risk,2023-02-16
C1615,873,Very Low Risk,2023-09-08
C1616,648,Medium Risk,2023-04-13
C1617,561,Medium Risk,2023-05-12
C1618,673,Low Risk,2023-06-27
C1619,534,High Risk,2023-01-15
C1620,597,Medium Risk,2023-05-14
C1621,634,Medium Risk,2023-08-14
C1622,823,Very Low Risk,2023-03-21
C1623,414,High Risk,2023-03-10
C1624,640,Medium Risk,2023-06-10
C1625,624,Medium Risk,2023-09-24
C1626,620,Medium Risk,2023-12-19
C1627,372,High Risk,2023-03-21
C1628,713,Low Risk,2023-01-31
C1629,554,Medium Risk,2023-01-11
C1630,820,Very Low Risk,2023-11-29
C1631,469,High Risk,2023-09-29
C1632,863,Very Low Risk,2023-05-07
C1633,803,Very Low Risk,2023-04-10
C1634,517,High Risk,2023-04-26
C1635,477,High Risk,2023-05-19
C1636,638,Medium Risk,2023-06-16
C1637,546,High Risk,2023-07-05
C1638,472,High Risk,2023-09-15
C1639,399,High Risk,2023-09-03
C1640,891,Very Low Risk,2023-07-30
C1641,352,High Risk,2023-03-16
C1642,747,Low Risk,2023-03-26
C1643,546,High Risk,2023-07-05
C1644,355,High Risk,2023-11-10
C1645,874,Very Low Risk,2023-08-24
C1646,890,Very Low Risk,2023-02-15
C1647,429,High Risk,2023-06-24
C1648,868,Very Low Risk,2023-01-03
C1649,652,Low Risk,2023-07-24
C1650,375,High Risk,2023-11-01
C1651,632,Medium Risk,2023-10-06
C1652,465,High Risk,2023-03-31
C1653,689,Low Risk,2023-10-20
C1654,363,High Risk,2023-08-29
C1655,623,Medium Risk,2023-07-02
C1656,789,Very Low Risk,2023-04-22
C1657,876,Very Low Risk,2023-11-23
C1658,803,Very Low Risk,2023-03-08
C1659,756,Very Low Risk,2023-03-08
C1660,525,High Risk,2023-01-06
C1661,462,High Risk,2023-02-21
C1662,459,High Risk,2023-08-14
C1663,767,Very Low Risk,2023-03-04
C1664,825,Very Low Risk,2023-12-30
C1665,647,Medium Risk,2023-10-05
C1666,740,Low Risk,2023-06-23
C1667,722,Low Risk,2023-08-03
C1668,728,Low Risk,2023-02-11
C1669,387,High Risk,2023-02-06
C1670,680,Low Risk,2023-02-04
C1671,865,Very Low Risk,2023-12-22
C1672,476,High Risk,2023-12-03
C1673,862,Very Low Risk,2023-06-29
C1674,677,Low Risk,2023-03-15
C1675,682,Low Risk,2023-11-29
C1676,822,Very Low Risk,2023-01-18
C1677,448,High Risk,2023-06-17
C1678,510,High Risk,2023-05-15
C1679,568,Medium Risk,2023-09-21
C1680,386,High Risk,2023-11-21
C1681,540,High Risk,2023-07-03
C1682,748,Low Risk,2023-10-21
C1683,414,High Risk,2023-06-20
C1684,517,High Risk,2023-01-14
C1685,598,Medium Risk,2023-08-13
C1686,836,Very Low Risk,2023-10-10
C1687,450,High Risk,2023-02-06
C1688,479,High Risk,2023-09-25
C1689,633,Medium Risk,2023-04-29
C1690,538,High Risk,2023-01-09
C1691,373,High Risk,2023-01-29
C1692,844,Very Low Risk,2023-10-07
C1693,522,High Risk,2023-11-04
C1694,684,Low Risk,2023-06-11
C1695,722,Low Risk,2023-02-27
C1696,542,High Risk,2023-03-21
C1697,389,High Risk,2023-02-01
C1698,633,Medium Risk,2023-06-03
C1699,488,High Risk,2023-08-11
C1700,415,High Risk,2023-03-05
C1701,718,Low Risk,2023-02-11
C1702,412,High Risk,2023-04-25
C1703,555,Medium Risk,2023-04-08
C1704,777,Very Low Risk,2023-12-19
C1705,846,Very Low Risk,2023-08-28
C1706,563,Medium Risk,2023-06-23
C1707,718,Low Risk,2023-04-02
C1708,645,Medium Risk,2023-05-05
C1709,502,High Risk,2023-12-07
C1710,643,Medium Risk,2023-12-25
C1711,516,High Risk,2023-05-19
C1712,715,Low Risk,2023-03-12
C1713,322,High Risk,2023-12-30
C1714,525,High Risk,2023-03-27
C1715,545,High Risk,2023-07-02
C1716,667,Low Risk,2023-05-16
C1717,702,Low Risk,2023-08-06
C1718,563,Medium Risk,2023-02-13
C1719,769,Very Low Risk,2023-12-01
C1720,638,Medium Risk,2023-06-07
C1721,586,Medium Risk,2023-04-05
C1722,899,Very Low Risk,2023-10-30
C1723,799,Very Low Risk,2023-09-20
C1724,841,Very Low Risk,2023-03-13
C1725,488,High Risk,2023-07-26
C1726,807,Very Low Risk,2023-10-25
C1727,893,Very Low Risk,2023-03-26
C1728,407,High Risk,2023-05-27
C1729,862,Very Low Risk,2023-12-14
C1730,605,Medium Risk,2023-05-02
C1731,597,Medium Risk,2023-05-08
C1732,455,High Risk,2023-07-06
C1733,357,High Risk,2023-11-01
C1734,774,Very Low Risk,2023-12-27
C1735,357,High Risk,2023-12-16
C1736,437,High Risk,2023-02-08
C1737,465,High Risk,2023-03-17
C1738,643,Medium Risk,2023-07-30
C1739,855,Very Low Risk,2023-02-02
C1740,467,High Risk,2023-10-26
C1741,702,Low Risk,2023-12-10
C1742,692,Low Risk,2023-01-21
C1743,799,Very Low Risk,2023-06-18
C1744,584,Medium Risk,2023-01-22
C1745,734,Low Risk,2024-01-01
C1746,374,High Risk,2023-06-22
C1747,331,High Risk,2023-04-13
C1748,677,Low Risk,2023-04-10
C1749,791,Very Low Risk,2023-07-20
C1750,324,High Risk,2023-09-21
C1751,654,Low Risk,2023-01-04
C1752,513,High Risk,2023-11-24
C1753,753,Very Low Risk,2023-03-27
C1754,768,Very Low Risk,2023-03-17
C1755,536,High Risk,2023-01-27
C1756,627,Medium Risk,2023-08-17
C1757,888,Very Low Risk,2023-01-18
C1758,363,High Risk,2023-04-08
C1759,853,Very Low Risk,2023-02-16
C1760,723,Low Risk,2023-10-18
C1761,455,High Risk,2023-10-14
C1762,479,High Risk,2023-05-08
C1763,769,Very Low Risk,2023-06-11
C1764,731,Low Risk,2023-07-18
C1765,342,High Risk,2023-04-30
C1766,308,High Risk,2023-04-28
C1767,316,High Risk,2023-10-03
C1768,691,Low Risk,2023-05-29
C1769,705,Low Risk,2023-03-04
C1770,441,High Risk,2023-09-09
C1771,706,Low Risk,2023-02-24
C1772,797,Very Low Risk,2023-07-23
C1773,601,Medium Risk,2023-05-25
C1774,599,Medium Risk,2023-02-07
C1775,627,Medium Risk,2023-11-02
C1776,641,Medium Risk,2023-08-03
C1777,778,Very Low Risk,2023-04-05
C1778,322,High Risk,2023-11-04
C1779,458,High Risk,2023-04-22
C1780,548,High Risk,2023-08-06
C1781,611,Medium Risk,2023-05-08
C1782,821,Very Low Risk,2023-07-07
C1783,724,Low Risk,2023-09-02
C1784,639,Medium Risk,2023-09-12
C1785,699,Low Risk,2023-04-24
C1786,581,Medium Risk,2023-08-04
C1787,558,Medium Risk,2023-01-10
C1788,823,Very Low Risk,2023-10-07
C1789,541,High Risk,2023-04-26
C1790,615,Medium Risk,2023-07-05
C1791,622,Medium Risk,2023-09-18
C1792,415,High Risk,2023-07-13
C1793,680,Low Risk,2023-02-14
C1794,800,Very Low Risk,2023-03-28
C1795,672,Low Risk,2023-12-09
C1796,798,Very Low Risk,2023-02-17
C1797,708,Low Risk,2023-09-14
C1798,839,Very Low Risk,2023-07-28
C1799,378,High Risk,2023-01-09
C1800,760,Very Low Risk,2023-07-08
C1801,664,Low Risk,2023-01-17
C1802,615,Medium Risk,2023-05-20
C1803,551,Medium Risk,2023-04-15
C1804,621,Medium Risk,2023-12-12
C1805,504,High Risk,2023-10-14
C1806,709,Low Risk,2023-02-14
C1807,763,Very Low Risk,2023-10-29
C1808,885,Very Low Risk,2023-05-30
C1809,323,High Risk,2023-05-29
C1810,851,Very Low Risk,2023-01-19
C1811,838,Very Low Risk,2023-05-02
C1812,696,Low Risk,2023-02-03
C1813,382,High Risk,2023-11-15
C1814,831,Very Low Risk,2023-05-11
C1815,746,Low Risk,2023-03-20
C1816,463,High Risk,2023-02-12
C1817,714,Low Risk,2023-01-01
C1818,522,High Risk,2023-02-16
C1819,618,Medium Risk,2023-07-26
C1820,872,Very Low Risk,2023-03-13
C1821,470,High Risk,2023-09-14
C1822,890,Very Low Risk,2023-11-30
C1823,836,Very Low Risk,2023-07-12
C1824,344,High Risk,2023-10-22
C1825,855,Very Low Risk,2023-03-01
C1826,620,Medium Risk,2023-02-21
C1827,785,Very Low Risk,2023-01-08
C1828,523,High Risk,2023-12-16
C1829,394,High Risk,2023-03-25
C1830,785,Very Low Risk,2023-08-05
C1831,561,Medium Risk,2023-05-27
C1832,800,Very Low Risk,2023-07-11
C1833,482,High Risk,2023-08-10
C1834,336,High Risk,2023-03-06
C1835,760,Very Low Risk,2023-04-30
C1836,683,Low Risk,2023-08-09
C1837,533,High Risk,2023-03-02
C1838,549,High Risk,2023-06-09
C1839,629,Medium Risk,2023-02-19
C1840,597,Medium Risk,2023-08-12
C1841,347,High Risk,2023-03-21
C1842,793,Very Low Risk,2023-06-20
C1843,365,High Risk,2023-11-19
C1844,529,High Risk,2023-05-15
C1845,499,High Risk,2023-07-23
C1846,315,High Risk,2023-12-29
C1847,545,High Risk,2023-08-06
C1848,641,Medium Risk,2023-05-15
C1849,590,Medium Risk,2023-09-12
C1850,396,High Risk,2023-01-25
C1851,586,Medium Risk,2023-02-05
C1852,861,Very Low Risk,2023-11-11
C1853,458,High Risk,2023-12-14
C1854,622,Medium Risk,2023-04-10
C1855,515,High Risk,2023-07-24
C1856,785,Very Low Risk,2023-05-10
C1857,659,Low Risk,2023-10-24
C1858,803,Very Low Risk,2023-11-02
C1859,805,Very Low Risk,2023-08-06
C1860,340,High Risk,2023-07-06
C1861,890,Very Low Risk,2023-12-25
C1862,612,Medium Risk,2023-10-26
C1863,758,Very Low Risk,2023-08-05
C1864,570,Medium Risk,2023-09-05
C1865,847,Very Low Risk,2023-10-13
C1866,811,Very Low Risk,2023-10-13
C1867,553,Medium Risk,2023-10-29
C1868,479,High Risk,2023-05-12
C1869,851,Very Low Risk,2023-05-21
C1870,708,Low Risk,2023-06-20
C1871,398,High Risk,2023-05-21
C1872,654,Low Risk,2023-07-14
C1873,575,Medium Risk,2023-03-18
C1874,586,Medium Risk,2023-08-10
C1875,771,Very Low Risk,2023-12-26
C1876,628,Medium Risk,2023-08-03
C1877,389,High Risk,2023-02-25
C1878,450,High Risk,2023-08-07
C1879,432,High Risk,2023-04-22
C1880,882,Very Low Risk,2023-03-13
C1881,433,High Risk,2023-12-02
C1882,755,Very Low Risk,2023-10-27
C1883,470,High Risk,2023-03-17
C1884,607,Medium Risk,2023-04-17
C1885,428,High Risk,2023-06-24
C1886,728,Low Risk,2023-12-01
C1887,374,High Risk,2023-07-04
C1888,493,High Risk,2023-08-19
C1889,530,High Risk,2023-08-24
C1890,442,High Risk,2023-08-04
C1891,845,Very Low Risk,2023-03-30
C1892,819,Very Low Risk,2023-10-27
C1893,546,High Risk,2023-04-30
C1894,387,High Risk,2023-12-24
C1895,746,Low Risk,2023-02-22
C1896,732,Low Risk,2023-04-16
C1897,623,Medium Risk,2023-01-27
C1898,458,High Risk,2023-06-04
C1899,470,High Risk,2023-03-19
C1900,327,High Risk,2023-04-12
C1901,827,Very Low Risk,2023-06-16
C1902,884,Very Low Risk,2023-03-01
C1903,338,High Risk,2023-03-05
C1904,875,Very Low Risk,2023-08-25
C1905,558,Medium Risk,2023-01-16
C1906,698,Low Risk,2023-02-07
C1907,570,Medium Risk,2023-08-01
C1908,779,Very Low Risk,2023-05-03
C1909,364,High Risk,2023-03-08
C1910,468,High Risk,2023-12-13
C1911,468,High Risk,2023-12-14
C1912,899,Very Low Risk,2023-03-19
C1913,602,Medium Risk,2023-07-16
C1914,707,Low Risk,2023-11-01
C1915,457,High Risk,2023-08-07
C1916,648,Medium Risk,2023-07-04
C1917,545,High Risk,2023-06-26
C1918,607,Medium Risk,2023-10-12
C1919,893,Very Low Risk,2023-09-04
C1920,468,High Risk,2023-02-13
C1921,344,High Risk,2023-01-11
C1922,863,Very Low Risk,2023-09-03
C1923,742,Low Risk,2023-09-14
C1924,836,Very Low Risk,2023-08-26
C1925,895,Very Low Risk,2023-06-24
C1926,871,Very Low Risk,2023-08-16
C1927,433,High Risk,2023-05-14
C1928,868,Very Low Risk,2023-10-19
C1929,484,High Risk,2023-11-05
C1930,732,Low Risk,2023-09-04
C1931,408,High Risk,2023-05-15
C1932,790,Very Low Risk,2023-11-21
C1933,896,Very Low Risk,2023-11-17
C1934,320,High Risk,2023-06-27
C1935,734,Low Risk,2023-10-13
C1936,537,High Risk,2023-11-12
C1937,577,Medium Risk,2023-12-24
C1938,338,High Risk,2023-06-30
C1939,435,High Risk,2023-09-28
C1940,554,Medium Risk,2023-03-25
C1941,409,High Risk,2023-09-16
C1942,648,Medium Risk,2023-11-08
C1943,669,Low Risk,2023-05-23
C1944,860,Very Low Risk,2023-10-10
C1945,412,High Risk,2023-11-13
C1946,474,High Risk,2023-04-21
C1947,813,Very Low Risk,2023-08-15
C1948,311,High Risk,2023-02-25
C1949,392,High Risk,2023-02-26
C1950,739,Low Risk,2023-09-30
C1951,368,High Risk,2023-08-28
C1952,821,Very Low Risk,2023-11-29
C1953,656,Low Risk,2023-11-25
C1954,386,High Risk,2023-10-30
C1955,504,High Risk,2023-08-24
C1956,862,Very Low Risk,2023-07-01
C1957,335,High Risk,2023-05-13
C1958,428,High Risk,2023-02-11
C1959,839,Very Low Risk,2023-10-04
C1960,540,High Risk,2023-10-17
C1961,533,High Risk,2023-02-19
C1962,718,Low Risk,2023-09-11
C1963,697,Low Risk,2023-02-04
C1964,665,Low Risk,2023-07-08
C1965,846,Very Low Risk,2023-03-01
C1966,700,Low Risk,2023-07-12
C1967,512,High Risk,2023-08-27
C1968,618,Medium Risk,2023-10-28
C1969,498,High Risk,2023-01-16
C1970,826,Very Low Risk,2023-06-09
C1971,368,High Risk,2023-07-03
C1972,585,Medium Risk,2023-07-15
C1973,794,Very Low Risk,2023-02-06
C1974,772,Very Low Risk,2023-04-17
C1975,433,High Risk,2023-05-27
C1976,316,High Risk,2023-11-17
C1977,869,Very Low Risk,2023-08-15
C1978,887,Very Low Risk,2023-07-09
C1979,887,Very Low Risk,2023-11-03
C1980,598,Medium Risk,2023-09-23
C1981,880,Very Low Risk,2023-05-03
C1982,697,Low Risk,2023-01-22
C1983,414,High Risk,2023-11-12
C1984,324,High Risk,2023-02-21
C1985,674,Low Risk,2023-10-05
C1986,637,Medium Risk,2023-10-11
C1987,646,Medium Risk,2023-06-13
C1988,627,Medium Risk,2023-03-22
C1989,531,High Risk,2023-08-26
C1990,755,Very Low Risk,2023-11-23
C1991,728,Low Risk,2023-03-10
C1992,554,Medium Risk,2023-01-18
C1993,387,High Risk,2023-08-31
C1994,699,Low Risk,2023-10-07
C1995,642,Medium Risk,2023-02-09
C1996,826,Very Low Risk,2023-10-11
C1997,867,Very Low Risk,2023-12-14
C1998,418,High Risk,2023-03-19
C1999,830,Very Low Risk,2023-11-22
C2000,640,Medium Risk,2023-04-08
C2001,321,High Risk,2023-09-19
C2002,601,Medium Risk,2023-03-25
C2003,374,High Risk,2023-07-23
C2004,321,High Risk,2023-08-18
C2005,311,High Risk,2023-12-21
C2006,752,Very Low Risk,2023-04-09
C2007,650,Low Risk,2023-08-29
C2008,358,High Risk,2023-10-16
C2009,341,High Risk,2023-10-20
C2010,519,High Risk,2023-04-08
C2011,492,High Risk,2023-07-14
C2012,335,High Risk,2023-09-18
C2013,550,Medium Risk,2023-12-24
C2014,440,High Risk,2023-11-18
C2015,794,Very Low Risk,2023-07-18
C2016,855,Very Low Risk,2023-12-22
C2017,336,High Risk,2023-03-06
C2018,562,Medium Risk,2023-05-31
C2019,445,High Risk,2023-09-27
C2020,630,Medium Risk,2023-12-04
C2021,428,High Risk,2023-02-18
C2022,408,High Risk,2023-02-10
C2023,367,High Risk,2023-05-28
C2024,663,Low Risk,2023-08-14
C2025,527,High Risk,2023-08-23
C2026,318,High Risk,2023-04-21
C2027,504,High Risk,2023-05-13
C2028,512,High Risk,2023-12-25
C2029,516,High Risk,2023-08-03
C2030,301,High Risk,2023-05-26
C2031,520,High Risk,2023-07-04
C2032,338,High Risk,2023-01-12
C2033,784,Very Low Risk,2023-08-14
C2034,808,Very Low Risk,2023-06-11
C2035,675,Low Risk,2023-10-11
C2036,617,Medium Risk,2023-02-09
C2037,647,Medium Risk,2023-08-05
C2038,490,High Risk,2023-04-21
C2039,685,Low Risk,2023-11-05
C2040,752,Very Low Risk,2023-09-13
C2041,409,High Risk,2023-09-25
C2042,602,Medium Risk,2023-02-03
C2043,706,Low Risk,2023-12-01
C2044,587,Medium Risk,2023-10-15
C2045,535,High Risk,2023-04-21
C2046,886,Very Low Risk,2023-05-03
C2047,698,Low Risk,2023-07-08
C2048,603,Medium Risk,2023-06-29
C2049,602,Medium Risk,2023-03-12
C2050,626,Medium Risk,2023-01-20
C2051,337,High Risk,2023-05-31
C2052,433,High Risk,2023-01-20
C2053,547,High Risk,2023-06-18
C2054,610,Medium Risk,2023-02-10
C2055,897,Very Low Risk,2023-11-25
C2056,318,High Risk,2023-03-31
C2057,725,Low Risk,2023-07-06
C2058,397,High Risk,2023-01-20
C2059,342,High Risk,2023-12-31
C2060,487,High Risk,2023-03-05
C2061,800,Very Low Risk,2023-03-12
C2062,820,Very Low Risk,2023-07-29
C2063,739,Low Risk,2023-10-22
C2064,633,Medium Risk,2023-03-03
C2065,726,Low Risk,2023-06-24
C2066,685,Low Risk,2023-12-11
C2067,489,High Risk,2023-12-04
C2068,528,High Risk,2023-04-10
C2069,559,Medium Risk,2023-07-26
C2070,389,High Risk,2023-08-28
C2071,851,Very Low Risk,2023-06-16
C2072,526,High Risk,2023-09-19
C2073,612,Medium Risk,2023-09-12
C2074,576,Medium Risk,2023-05-17
C2075,431,High Risk,2023-01-15
C2076,741,Low Risk,2023-06-08
C2077,862,Very Low Risk,2023-08-22
C2078,631,Medium Risk,2023-03-07
C2079,761,Very Low Risk,2023-11-28
C2080,569,Medium Risk,2023-03-30
C2081,815,Very Low Risk,2023-05-30
C2082,633,Medium Risk,2023-12-22
C2083,458,High Risk,2023-11-11
C2084,702,Low Risk,2023-07-19
C2085,300,High Risk,2023-07-13
C2086,506,High Risk,2023-02-11
C2087,722,Low Risk,2023-06-22
C2088,739,Low Risk,2023-01-04
C2089,585,Medium Risk,2023-03-05
C2090,849,Very Low Risk,2023-12-13
C2091,624,Medium Risk,2023-07-25
C2092,764,Very Low Risk,2023-04-27
C2093,750,Very Low Risk,2023-11-06
C2094,899,Very Low Risk,2023-05-14
C2095,636,Medium Risk,2023-08-04
C2096,332,High Risk,2023-02-01
C2097,501,High Risk,2023-09-12
C2098,341,High Risk,2023-06-02
C2099,794,Very Low Risk,2023-08-30
C2100,303,High Risk,2023-04-07
C2101,390,High Risk,2023-12-12
C2102,429,High Risk,2023-06-15
C2103,550,Medium Risk,2023-01-10
C2104,557,Medium Risk,2023-06-26
C2105,409,High Risk,2023-08-18
C2106,325,High Risk,2023-05-29
C2107,735,Low Risk,2023-07-10
C2108,322,High Risk,2023-01-08
C2109,312,High Risk,2023-05-06
C2110,678,Low Risk,2023-02-19
C2111,629,Medium Risk,2023-05-19
C2112,580,Medium Risk,2023-05-19
C2113,832,Very Low Risk,2023-09-23
C2114,475,High Risk,2023-07-19
C2115,366,High Risk,2023-10-13
C2116,662,Low Risk,2023-11-12
C2117,624,Medium Risk,2023-09-01
C2118,519,High Risk,2023-03-07
C2119,481,High Risk,2023-04-05
C2120,493,High Risk,2023-02-24
C2121,415,High Risk,2023-11-10
C2122,555,Medium Risk,2023-11-04
C2123,315,High Risk,2023-03-23
C2124,453,High Risk,2023-07-16
C2125,341,High Risk,2023-03-30
C2126,483,High Risk,2023-02-28
C2127,724,Low Risk,2023-09-28
C2128,703,Low Risk,2023-12-13
C2129,706,Low Risk,2023-05-27
C2130,305,High Risk,2023-03-27
C2131,562,Medium Risk,2023-12-07
C2132,842,Very Low Risk,2023-05-09
C2133,766,Very Low Risk,2023-12-13
C2134,589,Medium Risk,2023-10-16
C2135,766,Very Low Risk,2023-06-11
C2136,550,Medium Risk,2023-06-20
C2137,589,Medium Risk,2023-08-15
C2138,817,Very Low Risk,2023-03-18
C2139,848,Very Low Risk,2023-09-24
C2140,898,Very Low Risk,2023-02-27
C2141,484,High Risk,2023-10-19
C2142,816,Very Low Risk,2023-10-12
C2143,686,Low Risk,2023-06-29
C2144,780,Very Low Risk,2023-04-26
C2145,896,Very Low Risk,2023-06-26
C2146,363,High Risk,2023-03-16
C2147,392,High Risk,2023-06-29
C2148,317,High Risk,2023-07-22
C2149,606,Medium Risk,2023-03-09
C2150,498,High Risk,2023-12-12
C2151,500,High Risk,2023-08-03
C2152,525,High Risk,2023-04-05
C2153,512,High Risk,2023-07-06
C2154,474,High Risk,2023-10-26
C2155,490,High Risk,2023-03-02
C2156,736,Low Risk,2023-10-17
C2157,365,High Risk,2023-03-11
